highway,lat,lon
motorway_junction,43.0990658,-93.3461695
motorway_junction,43.0031376,-95.9930866
motorway_junction,41.4403319,-90.3213495
motorway_junction,41.4512135,-90.3346916
motorway_junction,41.569274,-90.357141
motorway_junction,41.563889,-93.874659
motorway_junction,41.549083,-93.949706
motorway_junction,41.541161,-94.005059
motorway_junction,41.517759,-94.117947
motorway_junction,41.516725,-94.192102
motorway_junction,41.510691,-94.199661
motorway_junction,41.517523,-94.127182
motorway_junction,41.5656234,-93.8614583
motorway_junction,42.5217339,-96.4991979
motorway_junction,42.6030594,-96.5740086
motorway_junction,42.5479513,-96.5068501
motorway_junction,42.4997675,-96.486832
motorway_junction,41.0154441,-96.3058942
motorway_junction,41.0081661,-96.3107115
motorway_junction,41.002455,-96.323009
motorway_junction,40.9277448,-96.4503154
motorway_junction,42.4495869,-96.407055
motorway_junction,42.4490406,-96.4353158
motorway_junction,42.4492797,-96.436604
motorway_junction,42.4493113,-96.4295632
motorway_junction,42.4469538,-96.3814454
motorway_junction,42.4491586,-96.4199668
motorway_junction,41.2624201,-95.9506344
motorway_junction,41.3451981,-95.9711397
motorway_junction,41.3453309,-95.9599934
motorway_junction,41.343309,-96.018298
motorway_junction,41.2802049,-96.0758345
motorway_junction,41.2596744,-95.9227122
motorway_junction,41.2657778,-95.953144
motorway_junction,41.2629537,-96.163222
motorway_junction,41.2912057,-96.0739003
motorway_junction,41.2858319,-95.95246
motorway_junction,41.2765529,-95.952574
motorway_junction,41.226353,-96.0865292
motorway_junction,41.2318133,-96.0865349
motorway_junction,41.2191453,-96.0916784
motorway_junction,41.2288142,-96.0877962
motorway_junction,41.2380514,-96.0863843
motorway_junction,41.208433,-95.9491556
motorway_junction,41.2630657,-96.1234228
motorway_junction,41.2627036,-96.2417336
motorway_junction,41.2780237,-95.9523511
motorway_junction,41.3184135,-96.0701346
motorway_junction,41.2630857,-95.9445433
motorway_junction,41.2188068,-96.0907617
motorway_junction,41.2086683,-95.9493899
motorway_junction,41.2245482,-96.0823529
motorway_junction,41.2229305,-96.0738959
motorway_junction,41.2451451,-96.085298
motorway_junction,41.2698577,-95.9523058
motorway_junction,41.2957834,-95.9521151
motorway_junction,41.2268234,-95.9590478
motorway_junction,41.2428207,-95.9538348
motorway_junction,41.310741,-96.0707714
motorway_junction,41.2177092,-96.0910728
motorway_junction,41.2297372,-96.0872843
motorway_junction,41.2127423,-96.0907419
motorway_junction,41.2717314,-96.076141
motorway_junction,41.2308159,-95.9241318
motorway_junction,41.215886,-96.0912909
motorway_junction,41.2414923,-96.0860249
motorway_junction,41.2657288,-95.9519738
motorway_junction,41.2359781,-95.9538158
motorway_junction,41.2072058,-96.0933512
motorway_junction,41.339727,-96.028502
motorway_junction,41.2114012,-96.092124
motorway_junction,41.2631139,-96.1333885
motorway_junction,41.347131,-95.988348
motorway_junction,41.2170642,-95.9534289
motorway_junction,41.2634353,-95.9478624
motorway_junction,41.2634634,-95.9497086
motorway_junction,41.2620934,-95.929869
motorway_junction,41.3018953,-96.0708649
motorway_junction,41.346625,-95.977232
motorway_junction,41.2576565,-95.9537524
motorway_junction,41.2224098,-95.9520384
motorway_junction,41.2017022,-95.9475915
motorway_junction,41.2144721,-95.9525223
motorway_junction,41.2994731,-95.9516791
motorway_junction,41.2238853,-96.0173486
motorway_junction,41.2223155,-96.0508519
motorway_junction,41.2226455,-95.9826446
motorway_junction,41.232351800000004,-95.9551205
motorway_junction,40.8959633,-96.5525051
motorway_junction,40.8954468,-96.5673271
motorway_junction,40.897061,-96.6357287
motorway_junction,40.9190199,-96.4684569
motorway_junction,41.1140221,-95.9337077
motorway_junction,41.1516611,-96.1545803
motorway_junction,41.145496,-95.938886
motorway_junction,41.108563,-95.932726
motorway_junction,41.1414745,-96.1632922
motorway_junction,41.155662,-95.9386011
motorway_junction,41.162409,-95.939091
motorway_junction,41.1881455,-95.9385172
motorway_junction,41.1220504,-95.9354643
motorway_junction,41.0868107,-96.2693443
motorway_junction,41.157122,-96.1461474
motorway_junction,41.1787285,-95.9390949
motorway_junction,41.1350091,-95.9352865
motorway_junction,41.0976314,-96.2476321
motorway_junction,41.1885165,-96.1043527
motorway_junction,41.1682846,-96.1303546
motorway_junction,41.0917831,-96.258667
motorway_junction,41.0980342,-95.9282108
motorway_junction,41.493266,-94.656558
motorway_junction,41.493061,-94.661494
motorway_junction,41.492909,-94.323236
motorway_junction,41.493165,-94.24609
motorway_junction,41.495814,-94.456003
motorway_junction,41.4931,-94.313759
motorway_junction,41.493292,-94.639157
motorway_junction,41.4930682,-94.6472748
motorway_junction,41.496052,-94.448284
motorway_junction,41.49608,-94.406111
motorway_junction,41.496912,-94.568038
motorway_junction,41.495829,-94.413279
motorway_junction,41.496095,-94.524664
motorway_junction,41.496298,-94.516096
motorway_junction,41.496693,-94.564261
motorway_junction,42.4594641,-92.25956
motorway_junction,42.4501086,-92.22699
