city,min_distance_to_exit_meters
Clutier,17074.404082939905
Coburg,42965.2386469434
Coggon,20690.623073639694
Coin,35495.24457518805
Colesburg,19181.27853744227
Colfax,1672.9951885161795
College Springs,42911.296522518365
Collins,9339.7529215046
Colo,1096.5832581420807
Columbus City,13578.099008889467
Columbus Junction,13419.125640821034
Colwell,12318.0794588289
Conesville,14866.885651971284
Conrad,24465.07486102139
Conway,60594.381093574324
Coon Rapids,42065.00350178356
Coppock,20295.89955416095
Coralville,1325.2997285318893
Corning,56664.40885484166
Correctionville,44177.88654047021
Corwith,49635.427532575435
Corydon,27607.50497612336
Cotter,5989.711150484401
Coulter,2725.6516170713453
Council Bluffs,2078.838259766836
Craig,13691.391391205758
Crawfordsville,7974.170632807172
Crescent,3532.8439171876207
Cresco,36660.05111896986
Creston,47692.536397771684
Cromwell,50806.524169068965
Crystal Lake,35909.36348047471
Cumberland,24844.841459147457
Cumming,1626.3651594165385
Curlew,59103.36042679431
Cushing,42740.25516409371
Cylinder,71671.17439351116
Dakota City,30764.304704583792
Dallas Center,14255.861286341398
Dana,18881.27598138354
Danbury,40971.92706174196
Danville,5151.569058343241
Davenport,1367.6195360227882
Davis City,4343.472817396689
Dawson,15526.572248394657
Dayton,21417.325161390072
De Soto,1090.958362262549
De Witt,1924.2340387141771
Decatur City,685.2727699712061
Decorah,49080.01334149329
Dedham,45641.86712622994
Deep River,12906.81163507705
Defiance,36431.494252721815
Delaware,637.2209988715565
Delhi,4552.658891444166
Delmar,4069.8827944844097
Deloit,43977.448989447774
Delphos,35250.23098554975
Delta,26604.84917888041
Denison,52640.0168281789
Denver,767.1704330827874
Derby,14615.145763315619
Dexter,2381.1665079966824
Diagonal,42821.84268876857
Dickens,63837.24045759192
Dike,585.414105392517
Dixon,13627.723657478517
Dolliver,88789.90020650766
Donahue,9080.138215929986
Donnellson,625.5691508640265
Doon,32692.905611496404
Dougherty,21691.31825649087
Dow City,47837.27097647838
Dows,3684.444255059486
Drakesville,25330.634263721386
Dubuque,223.20004101883302
Dumont,32009.129109901478
Duncombe,7095.39947581579
Dundee,13708.912260014651
Dunkerton,13346.567166857383
Dunlap,37867.483874001075
Durango,10215.347322281214
Durant,3790.2088207144575
Dyersville,1684.9560633078831
Dysart,28251.21610241454
Eagle Grove,23897.905203958064
Earlham,2910.488641572688
Earling,31007.550794336996
Earlville,1277.0786935929482
Early,1317.5278902298176
East Peru,12086.923976969594
Eddyville,782.4042418796287
Edgewood,19515.67334773734
Elberon,18989.61036014354
Eldon,8641.972559229205
Eldora,6978.223212637631
Eldridge,1365.6817970045918
Elgin,54928.0685608165
Elk Horn,10555.543180652943
Elk Run Heights,866.8233588911643
Elkader,42694.72188101358
Elkhart,4044.432685689528
Elkport,29888.01977930604
Elliott,38927.14918914113
Ellston,23840.089427603107
Ellsworth,799.4302685913949
Elma,20131.99833564741
Ely,6904.217417805118
Emerson,29463.94191782554
Emmetsburg,73799.62770206055
Epworth,834.4479598705034
Essex,40640.89414271911
Estherville,70826.15352998057
Evansdale,1295.6522940331022
Everly,39403.34431023053
Exira,10452.355776357943
Exline,55728.71730511178
Fairbank,21111.199707599968
Fairfax,4051.656426397497
Fairfield,2696.1401665241715
Farley,707.6069771312391
Farmersburg,54705.759853480624
Farmington,15648.340587030318
Farnhamville,21548.896415381707
Farragut,21330.634183394424
Fayette,42474.526030750545
Fenton,86217.28166711904
Ferguson,7613.8686008806435
Fertile,5793.8179873993495
Floris,15394.233659816437
Floyd,3909.614144697906
Fonda,16381.106524292609
Fontanelle,23042.318424004163
Forest City,23369.57802759439
Fort Atkinson,31431.934765429265
Fort Dodge,5856.6561818640985
Fort Madison,4587.255967785625
Fostoria,48877.46064109394
Franklin,4694.047598636993
Fraser,11614.242199815935
Fredericksburg,9600.49192078385
Frederika,9272.790250072609
Fredonia,11649.679297240882
Fremont,13164.745652841066
Fruitland,7896.109039711367
Galt,12299.315420588357
Galva,21882.925102247296
Garber,30139.865998124937
Garden Grove,17018.400342734538
Garnavillo,44293.63594214986
Garner,20222.43216604861
Garrison,23071.659715439953
Garwin,12398.076423755077
Geneva,23198.631882133737
George,20696.393073741998
Gibson,24052.10842562759
Gilbert,7380.819183659245
Gilbertville,3098.7005613304195
Gillett Grove,61174.63918895944
Gilman,14646.765410090336
Gilmore City,33393.72175033169
Gladbrook,20272.04362269084
Glenwood,1717.1652350524193
Glidden,43940.745249847874
Goldfield,31809.022695673524
Goodell,21723.183002598496
Goose Lake,17016.737254726377
Gowrie,19046.334608828638
Graettinger,80353.45332437406
Graf,5935.64795300055
Grafton,22757.546829823572
Grand Junction,16641.48251039825
Grand Mound,6461.140201058341
Grand River,11331.91933356668
Grandview,978.9882504374144
Granger,1470.560117301523
Grant,39491.06390853274
Granville,9819.012943406316
Gravity,71017.95742546684
Gray,38094.20341278402
Greeley,12882.651464155993
Greene,18776.24263097539
Greenfield,21216.445697600924
Greenville,57007.20581316446
Grimes,1579.9350682107556
Grinnell,5274.636081900625
Griswold,29245.55530265836
Grundy Center,11270.472946995924
Gruver,81691.61205580464
Guernsey,5283.431726984799
Guthrie Center,20167.029919293247
Guttenberg,35607.45348349555
Halbur,49767.287219269485
Hamburg,1604.4195952929167
Hamilton,19843.007043038848
Hampton,13950.847662663458
Hancock,12047.288820414702
Hanlontown,2342.1224924323624
Hansell,21324.500843854075
Harcourt,20311.57653410285
Hardy,40450.42258403682
Harlan,17289.48394316739
Harper,36244.09874301714
Harpers Ferry,76626.02861344867
Harris,22651.31426402143
Hartford,11586.713278947856
Hartley,27246.56492253709
Hartwick,9941.562341673874
Harvey,8217.855403948322
Hastings,21290.55175432524
Havelock,43057.74490747312
Haverhill,6559.149748715926
Hawarden,32101.08454819926
Hawkeye,30067.570705312457
Hayesville,23297.441786093328
Hazleton,18823.741704497614
Hedrick,12099.936221462198
Henderson,29476.019802246956
Hepburn,61351.418670269995
Hiawatha,713.8255661013292
Hills,966.4616454013687
Hillsboro,16136.692047353632
Hinton,8437.102847352218
Holland,7351.854551844597
Holstein,32099.04552312353
Holy Cross,17177.697486191206
Hopkinton,13683.421601948969
Hornick,11858.57040840873
Hospers,9989.99802132861
Houghton,15895.21323202427
Hubbard,16076.102916018566
Hudson,6457.114981169122
Hull,21978.7463428638
Humboldt,30347.091404004947
Humeston,22527.709988354996
Huxley,2801.7977471378504
Ida Grove,29628.96878108632
Imogene,31389.029684590478
Independence,2229.752202313149
Indianola,16420.835262001263
Inwood,48819.51600649067
Ionia,10315.401972941681
Iowa City,2955.8542482463004
Iowa Falls,8014.1646697116175
Ireton,20814.46935499011
Irwin,32770.384815986654
Jackson Junction,22899.90258611251
Jamaica,22799.22722403399
Janesville,587.0192265878751
Jefferson,28277.42127687665
Jesup,2952.0024771399353
Jewell Junction,5809.884455531224
Johnston,2148.286871786759
Joice,8484.191573680222
Jolley,4789.045561071896
Kalona,12899.019915464158
Kamrar,6450.234446731359
Kanawha,36070.20361640264
Kellerton,16599.95893861501
Kelley,6095.672503833423
Kellogg,4015.7144102003845
Kensett,11188.311157303422
Keokuk,14965.849180331104
Keomah Village,9502.747213399334
Keosauqua,28136.707787920684
Keota,33629.39987150874
Keswick,27068.817725960336
Keystone,28557.22681523003
Kimballton,14679.015939834102
Kingsley,27398.285887162423
Kinross,25227.5670792134
Kirkman,25718.1437219199
Kirkville,7594.265348362236
Kiron,34018.282011414754
Klemme,21131.813024740564
Knierim,13456.725034592178
Knoxville,2057.035741415878
La Motte,15104.629311570416
La Porte City,10727.692286173573
Lacona,21405.49861310631
Ladora,6650.167571209915
Lake City,20836.789006391282
Lake Mills,14979.081287990433
Lake Park,31658.183733113463
Lake View,17545.979053865904
Lakeside,16583.159573229732
Lakota,60281.48240418991
Lambs Grove,1965.3256826815318
Lamoni,3461.7372291897964
Lamont,14973.590135276125
Lanesboro,29558.269549893786
Lansing,93438.34004080447
Larchwood,55753.90133110462
Larrabee,39401.88375235461
Latimer,2457.666876078282
Laurel,13301.505988277086
Laurens,44368.29072886119
Lawler,12748.573347147278
Lawton,11481.4461168746
Le Claire,2249.1903550681104
Le Grand,534.8278213614905
Le Mars,2769.7299178258513
Le Roy,17643.2438853156
Ledyard,65720.31846051294
Lehigh,11391.9897743741
Leighton,8635.263804209522
Leland,23260.30768105174
Lenox,62278.87780249441
Leon,7942.133015623495
Lester,47385.515969210646
Letts,3764.0193368273613
Lewis,21300.634898972934
Libertyville,5640.866241062673
Lidderdale,37267.88919048067
Lime Springs,40581.48637215351
Lincoln,22625.105985239577
Linden,15596.171725167505
Lineville,29382.45238607413
Linn Grove,47203.7006097667
Lisbon,12539.532277509348
Liscomb,20047.99764888071
Little Rock,12710.956074971484
Little Sioux,2849.0546575952826
Livermore,46772.23795383298
Lockridge,9360.803693185142
Logan,14204.332967786511
Lohrville,22060.84483545619
Lone Rock,78976.3602400427
Lone Tree,10431.861913257495
Long Grove,1402.3224570228663
Lorimor,23124.44587504203
Lost Nation,13888.390425646852
Lovilia,22739.177545502138
Low Moor,1620.5749611776343
Lowden,24844.122074158935
Lu Verne,51036.33162107721
Luana,65623.2840839793
Lucas,12667.349515120315
Luther,7451.027754473009
Luxemburg,15091.800806662844
Luzerne,23349.294645422782
Lynnville,13111.968352371785
Lytton,7932.600357746502
Macedonia,29140.080448142224
Macksburg,31352.103652115697
Madrid,9809.146051621612
Magnolia,12530.081917382104
Maharishi Vedic City,5242.311450230744
Malcom,1316.7117217709701
Mallard,54170.11314612342
Maloy,41488.6757548469
Malvern,14368.618376005426
Manchester,2012.1039187270046
Manilla,43692.174356523814
Manly,11903.835067859645
Manning,45893.60959268493
Manson,13680.674774483956
Mapleton,31990.683176261613
Maquoketa,1518.4029237451455
Marathon,45389.620587377794
Marble Rock,15429.59462398331
Marcus,23191.008979883427
Marengo,11509.34951117636
Marion,5393.9248909594835
Marne,5092.0057596485
Marquette,63863.391836541174
Marshalltown,5100.228096182261
Martelle,5770.871930702099
Martensdale,3798.9999746515714
Martinsburg,16066.700996217334
Marysville,16494.41332141353
Mason City,5340.6772423305665
Masonville,4324.461474347583
Massena,27029.134308884175
Matlock,11133.512712628608
Maurice,13060.06397505647
Maxwell,11761.586450438479
Maynard,36153.1899570235
Maysville,5602.01569088609
McCallsburg,13755.775292658733
McCausland,10073.319489847454
McClelland,4442.385506492863
McGregor,61675.430782527896
McIntire,39343.412790438444
Mechanicsville,19617.49573872369
Mediapolis,19511.44112578084
Melbourne,9684.882177135669
Melcher-Dallas,13346.37753092945
Melrose,21824.169031623183
Melvin,15109.683473796531
Menlo,2572.517031832581
Meriden,36694.3796581807
Merrill,5409.489866887657
Meservey,10453.941613213505
Middletown,760.13408090606
Miles,26039.991977203877
Milford,46717.01070054658
Millersburg,13661.511417230668
Millerton,17228.522116702807
Millville,25817.99945950052
Milo,24998.40674101319
Milton,36374.72520534153
Minburn,8849.692857462134
Minden,3557.230716218647
Mingo,5247.637671346758
Missouri Valley,2478.0849382679685
Mitchell,25801.928223551982
Mitchellville,1583.7916005296672
Modale,1440.38841479494
Mondamin,1973.0552968571756
Monmouth,16243.646456556124
Monona,64750.0892818281
Monroe,1102.0712342830882
Montezuma,12404.533869467
Monticello,1442.536008524749
Montour,6151.426873334293
Montrose,10293.579755514667
Moorhead,20913.613365220725
Moorland,1108.198181704682
Moravia,32857.860471316264
Morley,9780.237195050893
Morning Sun,20212.66434369617
Morrison,13451.258623628557
Moulton,44357.15650614424
Mount Auburn,10698.776966835143
Mount Ayr,29528.920224961323
Mount Pleasant,1886.9529021402504
Mount Sterling,31399.869289804054
Mount Union,13877.126439879854
Mount Vernon,9938.097071626182
Moville,20644.09953729858
Murray,13122.663197908938
Muscatine,18310.56150117064
Mystic,39392.0247627483
Nashua,897.9683860320887
Nemaha,6655.582741952674
Neola,942.9359192088768
Nevada,2145.2469448297734
New Albin,94741.16002407354
New Hampton,1423.5053027241465
New Hartford,11738.21618474486
New Liberty,9532.370007481744
New London,1894.924760977654
New Market,64659.93999217452
New Providence,16249.819059989546
New Sharon,18481.348076073027
New Vienna,8751.542653141969
New Virginia,4637.03744822229
Newell,17208.973022997267
Newhall,14917.176532053823
Newton,2463.9961173110687
Nichols,20281.633046304665
Nodaway,62323.936095125326
Nora Springs,3041.2395849533173
North Buena Vista,26429.125992348498
North English,19461.606805009607
North Liberty,2949.911645140408
North Washington,8174.173567478817
Northboro,29055.013111819862
Northwood,10381.800192836858
Norwalk,4346.597888627165
Norway,12629.734824656964
Numa,44796.6443100736
Oakland,21362.20849850401
Oakland Acres,3140.6224639953
Oakville,23166.44759002813
Ocheyedan,14570.566351677735
Odebolt,19748.1940582904
Oelwein,25611.99982825798
Ogden,1166.6425361977533
Okoboji,46008.60350222655
Olds,15139.62091500171
Olin,15238.195389031815
Ollie,21533.942951583
Onawa,2626.920634757236
Onslow,17788.114615916907
Orange City,5137.785505116986
Orchard,15375.93682104408
Orient,32592.88874124813
Orleans,50205.301647022185
Osage,22567.980357211294
Osceola,2164.7462883782086
Oskaloosa,2106.5659889580365
Ossian,45035.17724929844
Osterdock,29231.0892582221
Otho,3131.6126913119797
Oto,29369.639490337784
Ottosen,49846.302132398574
Ottumwa,2536.853470272667
Owasa,4081.357718325568
Oxford,3994.300278137379
Oxford Junction,24317.06622746344
Oyens,8913.884846638493
Pacific Junction,1520.299516645677
Packwood,14351.204446592528
Palmer,20714.337565226648
Palo,6356.222642429357
Panama,25335.834567492886
Panora,22064.70840102304
Panorama Park,4663.801772557658
Parkersburg,12802.725589179398
Parnell,11593.986271105408
Paton,23455.32542746935
Patterson,8499.89492421619
Paullina,23598.924360235906
Pella,2075.17661108722
Peosta,1069.6202718650259
Perry,5984.350579844382
Persia,9122.693883857604
Peterson,47501.00550070868
Pierson,36777.218111558264
Pilot Mound,14999.184058278475
Pioneer,23917.434668947535
Pisgah,11126.443676145387
Plainfield,406.72370186235554
Plano,35311.94980332332
Pleasant Hill,1159.2118331743145
Pleasant Plain,16545.465361022394
Pleasanton,12642.5993614478
Pleasantville,12522.445244706147
Plover,47800.75533691927
Plymouth,14437.281611566768
Pocahontas,31793.728765982134
Polk City,6381.027371059147
Pomeroy,11303.840744921994
Popejoy,8735.837276852448
Portsmouth,16855.80902754841
Postville,60399.81067881825
Prairie City,1170.7718106944842
Prairieburg,18991.04494464105
Prescott,52391.641804072235
Preston,21588.259933111265
Primghar,17848.44788206658
Princeton,9707.810198980493
Promise City,31612.026088702427
Protivin,23077.346065042628
Pulaski,33499.79067003681
Quasqueton,7475.237907006653
Quimby,43627.64289219528
Radcliffe,11141.90607711759
Rake,46115.77825594185
Ralston,45515.44570652535
Randalia,36973.14641414892
Randall,2683.5024098217027
Randolph,19697.32672757332
Rathbun,41798.14145090567
Raymond,2160.191943125944
Readlyn,9160.881253312882
Reasnor,9487.33269606815
Red Oak,44627.02102092828
Redding,37918.85584634843
Redfield,8100.4757132847435
Reinbeck,15343.831578351308
Rembrandt,39251.34097749849
Remsen,15893.943303583306
Renwick,42569.03421036972
Rhodes,13241.354055411855
Riceville,32868.6591208857
Richland,19580.889917984503
Rickardsville,16022.14553398491
Ricketts,46700.10853414567
Ridgeway,35357.15461008572
Rinard,18789.459938309417
Ringsted,94108.84082477463
Rippey,17342.723817701233
Riverdale,4951.147144988014
Riverside,2553.245124150216
Riverton,13232.146420386382
Robins,3183.0991267242835
Rock Falls,10265.949495186482
Rock Rapids,34666.791691837025
Rock Valley,33293.85785101162
Rockford,8983.749732776665
Rockwell,12230.249697133871
Rockwell City,6503.998515377195
Rodman,65287.90502208795
Rodney,22477.017148523013
Roland,5663.26722079077
Rolfe,41863.46703224976
Rome,3918.110099621649
Rose Hill,16728.88946438833
Rossie,53840.62647658944
Rowan,10706.904042469772
Rowley,9373.373008135011
Royal,44713.107529580455
Rudd,8950.808908453715
Runnells,12814.56560838741
Russell,9369.673326377651
Ruthven,72980.90126044441
Rutland,34196.519201115974
Ryan,12541.699154335833
Sabula,31904.373885481113
Sac City,4223.2873375511435
Sageville,6237.293218342096
Salem,11272.902232394896
Salix,1187.8713871461669
Sanborn,12756.025680562845
Sandyville,19514.856716627626
Scarville,21722.31078282136
Schaller,11744.604593343654
Schleswig,41397.92653451697
Scranton,42128.85260563753
Searsboro,12942.467485319057
Sergeant Bluff,697.8847628733598
Seymour,39186.82028379442
Shambaugh,51526.321023639066
Shannon City,38045.11401715144
Sharpsburg,64594.15173023276
Sheffield,11337.928141312581
Shelby,1995.5294857816377
Sheldahl,10368.989535699468
Sheldon,1992.418950083304
Shell Rock,4001.2726875375433
Shellsburg,11279.742632098436
Shenandoah,31462.76016731988
Sherrill,14605.576270770714
Shueyville,1806.8528367229903
Sibley,1976.402457112781
Sidney,13200.558599813725
Sigourney,31761.419171561996
Silver City,13134.074939839202
Sioux Center,17133.28011185016
Sioux City,1254.4967692729247
Sioux Rapids,46785.24287282287
Slater,9205.629670889528
Sloan,1506.0193599811898
Smithland,25219.411134715607
Soldier,27277.516236540876
Solon,13422.601209607776
Somers,13878.303298601351
South English,26403.44773827078
Spencer,54415.03999585381
Spillville,32155.18200027206
Spirit Lake,49458.0523487224
Spragueville,18627.330531094136
Spring Hill,9981.935602921156
Springbrook,30868.611132245787
Springville,8754.153376616261
St. Ansgar,30149.74366564917
St. Anthony,15500.798768462279
St. Charles,2692.393477735325
St. Donatus,11576.548201834883
St. Lucas,30793.798443454678
St. Marys,3828.0575232744313
St. Olaf,51101.67762596075
St. Paul,14308.804795507434
Stacyville,38663.73075887786
Stanhope,17876.69736386904
Stanley,20612.675899739334
Stanton,55016.85499004687
Stanwood,24547.27301739442
State Center,11224.999562749072
Steamboat Rock,5319.538628306681
Stockport,17101.45464917773
Stockton,4680.09371517556
Storm Lake,19317.565291713265
Story City,2137.5661333304165
Stout,8099.486312062256
Stratford,19816.761112549375
Strawberry Point,24746.252318831393
Struble,8761.736681441787
Stuart,1211.9302586792976
Sully,12408.901511610795
Sumner,22571.78255641148
Superior,61948.31169540159
Sutherland,33796.93214919286
Swaledale,2403.8217732531275
Swan,15107.722150509731
Swea City,78186.25020788578
Swisher,2222.562266041736
Tabor,10804.225894938369
Tama,2212.452905998843
Templeton,46880.90870895768
Tennant,10563.581659242334
Terril,61301.09508504646
Thayer,21404.69315918796
Thompson,34356.50798859166
Thor,27029.686642310422
Thornburg,26852.152135671324
Thornton,2808.2584309502918
Thurman,4924.411195938054
Tiffin,1462.6219054293351
Tingley,31265.74444134066
Tipton,13861.923998011032
Titonka,56153.02352107255
Toledo,1665.951605490427
Toronto,20039.49426147541
Traer,25357.650872921244
Treynor,15281.371638502867
Tripoli,11764.31117022886
Truesdale,28602.89352029295
Truro,5646.570017294388
Turin,12249.030842019662
Udell,40424.262870451814
Underwood,836.1201685568847
Union,20992.862134857245
Unionville,34667.27742861452
University Heights,2277.7263509780637
University Park,3455.616318658487
Urbana,865.5458359963504
Urbandale,2904.6527718896396
Ute,33970.882780852815
Vail,46085.99328397944
Valeria,6232.87771817186
Van Horne,25193.036085046057
Van Meter,1514.115525071264
Van Wert,904.7977907306667
Varina,23040.99766715269
Ventura,9911.387548217948
Victor,4084.957679834424
Villisca,63203.620089624055
Vincent,17645.63888289262
Vining,13350.614201059429
Vinton,13776.894310024725
Volga,38001.43863968404
Wadena,42175.907242869696
Wahpeton,44294.752138298805
Walcott,3399.5233755346558
Walford,10072.860953672947
Walker,9518.846044525615
Wall Lake,22640.920356691415
Wallingford,75207.9698128734
Walnut,2254.2560418267913
Wapello,10182.607683296532
Washington,12210.095650595087
Washta,45109.797243246896
Waterloo,161.06065997774445
Waterville,81999.55833126498
Waucoma,22825.889551109085
Waukee,5422.62043387481
Waukon,70857.96850406256
Waverly,4002.37655373966
Wayland,18615.589743933077
Webb,54201.48305433523
Webster,28677.604463635966
Webster City,2349.6478274263773
Weldon,6235.404967807986
Wellman,24054.17553903271
Wellsburg,3372.900273376942
Welton,8713.813707684425
Wesley,51979.31983378585
West Bend,57926.61941703942
West Branch,926.8062900103309
West Burlington,1043.106742431793
West Chester,22170.87624561681
West Des Moines,1788.0947164425506
West Liberty,10411.100113887667
West Okoboji,45212.8006968537
West Point,9512.999369377558
West Union,41485.40751672269
Westfield,16717.302912298284
Westgate,28444.957268546837
Westphalia,24942.822812067538
Westside,43557.23484090598
Westwood,1539.9872739868574
What Cheer,28822.33099821244
Wheatland,22150.87308276288
Whiting,4248.246257115173
Whittemore,68906.41679385964
Whitten,21356.179286172515
Willey,53743.43193700705
Williams,2458.3068165344603
Williamsburg,2935.9846560821975
Williamson,10193.122093637092
Wilton,5305.52258114931
Windsor Heights,1183.571098295234
Winfield,16483.514730996674
Winterset,19810.236147055057
Winthrop,1626.8455847076177
Wiota,10664.586320778042
Woden,45432.088306446036
Woodbine,25667.303155376074
Woodburn,16199.665838410601
Woodward,2569.7882979563683
Woolstock,13000.421441247378
Worthington,8155.1119182083185
Wyoming,21890.75487361933
Yale,27585.671709543687
Yetter,17451.568745685938
Yorktown,44678.8596211133
Zearing,17068.28095703416
Zwingle,13500.549007325824
