city,min_distance_to_exit_meters
Ackley,10562.462276021108
Ackworth,16717.586850184798
Adair,868.1194228709134
Adel,8221.584239894468
Afton,33628.26092501173
Agency,745.3531413701608
Ainsworth,1546.5987152254854
Akron,24739.298937711512
Albert City,36031.410967476884
Albia,20733.250019463336
Albion,11700.766086066817
Alburnett,8970.162904315886
Alden,8059.687974324505
Alexander,9076.730604301418
Algona,68865.38768790313
Alleman,3403.2557136443957
Allerton,33546.501677165405
Allison,21325.610776445563
Alta,25605.18032078856
Alta Vista,14682.218845595538
Alton,1489.9722134908427
Altoona,2182.18959357031
Alvord,40896.74508842373
Ames,3047.2156851703025
Anamosa,1492.4256313071728
Andover,19893.993486677406
Andrew,11576.294401732986
Anita,5906.496646362947
Ankeny,1928.0729205587293
Anthon,35491.84714261454
Aplington,13478.615239312756
Arcadia,41415.520461827036
Archer,8288.540581032768
Aredale,28708.521125342748
Arion,49808.92122975679
Arispe,35523.67422235886
Arlington,31837.39611538928
Armstrong,91412.74220634995
Arnolds Park,48106.55193366958
Arthur,22019.430342788983
Asbury,5374.981748693269
Ashton,8263.68035204218
Aspinwall,46149.99068016386
Atalissa,8378.53928454456
Atkins,6851.91153070825
Atlantic,10419.24883491463
Auburn,23276.3239354201
Audubon,24580.748329656184
Aurelia,35303.82113963259
Aurora,17560.554927348265
Avoca,2391.738965058404
Ayrshire,65776.19246094166
Badger,18314.1620313896
Bagley,32765.547107429797
Baldwin,13074.150843501164
Balltown,21752.030090195032
Bancroft,70318.82310247376
Bankston,8997.080316451184
Barnes City,20848.98990818537
Barnum,8638.097808891273
Bassett,12083.437241277416
Batavia,1135.0840463072461
Battle Creek,40492.92398976579
Baxter,12071.415182150111
Bayard,39528.703696105535
Beacon,1635.8027749769979
Beaconsfield,18677.207647656072
Beaman,23437.142793301642
Beaver,8844.475304237147
Bedford,66724.3728503622
Belle Plaine,22184.522575201645
Bellevue,23724.17728116302
Belmond,20853.923813153993
Bennett,12529.683855726007
Benton,38225.95038437478
Berkley,11445.091900681684
Bernard,13114.793853690751
Bertram,2264.3707758676587
Bettendorf,3258.585883135968
Bevington,943.7429563209611
Birmingham,11763.937347000237
Blairsburg,3636.681022181833
Blairstown,24394.045711911418
Blakesburg,20362.481964138053
Blanchard,33375.16788436299
Blencoe,1898.6950877696852
Blockton,45380.66099544844
Bloomfield,28980.177415611473
Blue Grass,969.4652303537541
Bode,46322.350160952694
Bonaparte,21548.003847585547
Bondurant,3596.092084728162
Boone,5544.4269979328565
Bouton,2017.174463373059
Boxholm,17290.513581620206
Boyden,11936.61523166932
Braddyville,48405.26859488639
Bradgate,40412.97215849893
Brandon,1444.505835673961
Brayton,5369.983183095845
Breda,30338.93694182004
Bridgewater,27622.30877176748
Brighton,20452.910348640726
Bristow,30603.42046590829
Britt,36405.43912426766
Bronson,10844.316845241956
Brooklyn,3978.1958261394
Brunsville,5601.593502775239
Buck Grove,46848.736881468976
Buckeye,3414.8370946851287
Buffalo,6374.540027357029
Buffalo Center,48412.639143382534
Burlington,968.540083103264
Burt,70152.63491597024
Bussey,18388.481401965124
Calamus,15633.06445956802
Callender,10021.185342461267
Calmar,37940.43327078628
Calumet,32928.57218035192
Camanche,8654.667205198175
Cambridge,3890.0397846938567
Cantril,38611.720395700206
Carbon,49933.79548896531
Carlisle,3714.7737839123074
Carpenter,27171.796809391373
Carroll,43748.49262178854
Carson,26562.77972469175
Carter Lake,2495.3546428141217
Cascade,1182.162994873568
Casey,954.2830558520088
Castalia,51681.3668656063
Castana,18966.395417072737
Cedar Falls,1944.5777322331344
Cedar Rapids,410.46929046864307
Center Junction,12896.98569085881
Center Point,1843.1184133450145
Centerville,47610.74176037776
Central City,18916.521501905936
Centralia,3530.1850102769895
Chariton,1678.170846576765
Charles City,3116.9234224882066
Charlotte,16281.757371153335
Charter Oak,43662.88068789232
Chatsworth,28804.410975195075
Chelsea,12994.503389564601
Cherokee,44782.92731559151
Chester,45383.10976435525
Chillicothe,7156.185544980481
Churdan,36539.70550681391
Cincinnati,52590.377274399536
Clare,15861.479339268844
Clarence,27277.25058297773
Clarinda,54138.9956471403
Clarion,23137.704287554545
Clarksville,11559.408531456214
Clayton,48162.129444819184
Clear Lake,1879.7383236134867
Clearfield,51882.06530233221
Cleghorn,30376.59967421697
Clemons,15807.068735067045
Clermont,54321.453965035784
Clinton,13662.519789307822
Clio,34452.58139501441
Clive,487.4323869119336
