review_num,sentiment_score_afinn
1,3
3,3
5,0.75
6,3
7,3
8,3
9,3
10,3
11,-1.125
12,0.5
13,0.3333333333333333
14,2
15,-1
16,3
17,4
18,3
19,3
20,2
21,0.3333333333333333
22,2
23,0.5
24,4
25,2.5
26,-1
28,3
29,2.5
30,1.5
31,2.5
32,3
33,2.5
34,3
35,3
36,2.5
37,3
38,2
40,2.5
41,2.3333333333333335
42,3
43,2
44,4
45,-2
46,1.6
47,2.6
48,2.6666666666666665
49,3
50,3
52,3
53,3
54,2
55,2.6666666666666665
56,4
57,1.5
58,-0.5
59,3
60,3.5
61,2.3333333333333335
62,1
63,0.46153846153846156
64,3
65,2.5
66,3
67,3
68,1.6666666666666667
70,2.75
71,-3
72,3
73,3.5
74,2
75,1.6666666666666667
76,3
77,2.75
79,1
80,1.8
81,0
82,1
83,-1
84,2.6666666666666665
85,2.6666666666666665
86,3
87,1
88,4
89,1.3333333333333333
90,2.25
91,2.5
92,2
93,2.5
94,3.5
95,2.5
96,2
97,2.142857142857143
98,2.375
99,1.4285714285714286
100,1.5
101,4
102,3
103,3
104,2.2
105,-1.1428571428571428
106,1
109,1.8
110,3
111,3
112,3
113,3
114,2.3333333333333335
115,1.3333333333333333
117,3
118,2.5
119,3
120,2
121,3
122,3
123,2.5
124,3
125,2
126,2.3333333333333335
127,3
128,3
129,3.6666666666666665
130,-1
131,3
132,0
133,3
135,2.6666666666666665
136,-2
137,3
138,3
139,0.7777777777777778
140,2.5
141,1.3333333333333333
142,2.5
143,-0.6666666666666666
144,2
145,0.5454545454545454
146,3
147,0.6666666666666666
148,-3
149,2.5
150,3
151,3
152,3
156,3
157,-0.3333333333333333
159,3
160,3
161,3
162,3
165,3
166,3
167,3
168,2.25
169,2.5
170,2
171,3
172,2.5
173,3
174,-1.6666666666666667
175,1.25
177,3
178,3.25
179,-1
180,3
181,4
183,3
184,3.5
186,3
187,0.5
188,2
189,1.25
190,2.5
191,3
192,2.6666666666666665
193,2
194,-0.5
195,2
196,2
197,-0.5
198,2.3333333333333335
199,2
200,-0.6666666666666666
201,3
202,3
203,0.5
204,2
206,2
207,-1
210,2
213,2.5714285714285716
214,2.6666666666666665
215,1
216,3
217,2.5
218,3
219,0
220,1.6666666666666667
221,2.5
222,0.6666666666666666
223,2
224,-1.3333333333333333
225,-2
226,-3
228,3
229,3.3333333333333335
230,2
231,3.3333333333333335
232,2.5
233,3
236,0
237,3
238,3
239,2.6666666666666665
240,2.5
241,1.3333333333333333
242,2.857142857142857
244,3
245,3
247,3
250,3
251,3
252,3
253,2.5
254,3
255,3
256,2.5
257,3.5
258,3
259,3
260,-0.42857142857142855
261,1.5
262,2.6666666666666665
263,-0.14285714285714285
264,2
265,0.75
266,2
267,3
268,2
269,1.6
270,0.25
271,1.2
272,2.6666666666666665
273,2
274,2.3333333333333335
275,3
276,3
278,-1
279,3
280,3.5
281,-3
282,3.5
283,3
284,2
285,4
286,4
287,3.5
288,2.6666666666666665
289,3
290,2.5
291,3
293,-0.3333333333333333
294,3
295,1.5
296,3
297,3
298,3
299,0
300,3
301,0.4
302,2
303,0.25
304,3
305,-2
306,1.4
307,2.4
308,2.6666666666666665
309,3.5
310,2.6666666666666665
311,-3
312,2
313,1.5
314,-0.5
316,-0.8333333333333334
317,3.5
318,3
319,3
321,3
322,2.5
323,3.25
324,1
326,-1.5
327,1
328,0
330,3
332,3
333,2.5
334,2
335,-0.6
336,2.2
337,2.6666666666666665
338,3
339,-1
340,-3
341,1.3333333333333333
342,-0.6666666666666666
343,2.75
344,-2
345,-1
348,1.6666666666666667
349,3
350,2.6666666666666665
351,3
352,2.6666666666666665
353,1.6666666666666667
354,2.3333333333333335
355,3
356,2.6666666666666665
357,3
358,3
359,0.9
360,2
361,2
362,2.2857142857142856
363,1.8
364,2.1666666666666665
365,2
366,-1.8333333333333333
367,2.5
368,2.6666666666666665
369,1
370,2
371,2.5
372,1.25
373,3
375,-1.1666666666666667
376,2
377,0.6666666666666666
378,1
379,3
380,3
381,3
382,2.5
383,1.4
385,3
386,2
387,3
388,1
389,1
390,1
391,2.5
392,-2
393,3
394,2.4285714285714284
395,4
396,2.6666666666666665
397,1.7777777777777777
398,1.75
399,2
401,3
402,0.2857142857142857
404,2.6666666666666665
405,2
406,3
407,2.5
408,2.3333333333333335
409,2.5
410,1.25
411,2.6666666666666665
412,2.5
413,2.6666666666666665
414,3
415,2
417,4
418,2.5
419,2
420,3
421,3
422,-1
425,-1
426,2
427,-3
428,3
429,4
431,3
432,-3
433,-0.9375
434,3
435,2
436,2.6666666666666665
438,3
439,3
440,3
441,3
442,2.5
443,3
444,3
445,3
446,2.5
447,3.5
448,3
449,2
450,3
451,3
453,3
454,3
455,3
456,3
459,5
460,5
461,-0.3333333333333333
462,-0.3333333333333333
463,3
464,3
465,-0.5
466,-0.5
467,2.25
468,2.25
469,3
470,3
471,3
472,3
473,1
474,1
475,3
476,3
477,2.3333333333333335
478,2.3333333333333335
481,1.2
482,1.2
483,3
484,3
485,3
486,3
487,2.5
488,2.5
489,3
490,3
491,1.6666666666666667
492,1.6666666666666667
493,1.5714285714285714
494,1.5714285714285714
495,3
496,3
497,1.2
498,1.2
499,2.6
500,2.6
501,3
502,3
503,3.3333333333333335
504,3
505,1
506,2.5
507,3
508,0.75
509,2.6
510,1.5714285714285714
511,2.3333333333333335
512,3
513,3
514,3
515,3
516,1.25
517,1
518,3
519,2.3333333333333335
520,2
521,-0.2857142857142857
522,-1
523,2.5
524,0.5
525,3.5
526,3
527,3
528,1.6666666666666667
529,2.6666666666666665
530,1.2
531,2
532,1.6666666666666667
533,1.6
534,1.6
535,0.5
536,0.5
537,2.3333333333333335
538,2.3333333333333335
539,2.5
540,2.5
541,2.3333333333333335
542,2.3333333333333335
543,1.6
544,1.6666666666666667
545,2
